iter	MultiRMSE
0	0.2611505759
1	0.2605684219
2	0.259865133
3	0.2592320627
4	0.2585995821
5	0.2579943162
6	0.2573624976
7	0.25677562
8	0.2563756945
9	0.2558034966
10	0.2552214486
11	0.2546692254
12	0.254146444
13	0.2536809689
14	0.2531329945
15	0.2527121696
16	0.2523118537
17	0.2518296911
18	0.2514324838
19	0.2509580122
20	0.250587196
21	0.2502495116
22	0.2497288317
23	0.2493694107
24	0.2490875086
25	0.2486469796
26	0.2481782881
27	0.247809663
28	0.2472886059
29	0.2468551084
30	0.2465365363
31	0.2461919103
32	0.2458409447
33	0.2454056387
34	0.2449895345
35	0.244704924
36	0.2443763388
37	0.2440487843
38	0.2436279834
39	0.2434138297
40	0.243130332
41	0.242813129
42	0.2425317112
43	0.2422472626
44	0.2419777277
45	0.2416895549
46	0.2413613759
47	0.2409417893
48	0.2405937453
49	0.2402682488
50	0.2400496533
51	0.2397608699
52	0.2395587941
53	0.2392931371
54	0.2390362516
55	0.2387990143
56	0.2385557206
57	0.2382715673
58	0.2379439363
59	0.2376949694
60	0.2374878451
61	0.2372825738
62	0.2370712802
63	0.2367706556
64	0.2365054292
65	0.2361715126
66	0.2359913562
67	0.235633669
68	0.2354036984
69	0.2350686559
70	0.2348287921
71	0.2345455907
72	0.2343562062
73	0.2341200295
74	0.2339292822
75	0.233781739
76	0.2336401683
77	0.2333424359
78	0.2330273066
79	0.2328424532
80	0.2327065088
81	0.2324667588
82	0.2322500992
83	0.2320595682
84	0.2318494302
85	0.2316395222
86	0.2313790478
87	0.2311772372
88	0.2310017743
89	0.2307656137
90	0.2304075141
91	0.2302523774
92	0.2301453559
93	0.2300246726
94	0.2298625791
95	0.2297577214
96	0.2295828828
97	0.2293946323
98	0.2292462118
99	0.2290208158
100	0.2288445779
101	0.2287214184
102	0.2285592738
103	0.2283605595
104	0.2282156817
105	0.227949396
106	0.2276924577
107	0.2275837532
108	0.2273683518
109	0.2270639597
110	0.2269351819
111	0.2268176814
112	0.2266659843
113	0.2264203994
114	0.2262131988
115	0.2259352356
116	0.2257421954
117	0.2256017855
118	0.225393418
119	0.2252897168
120	0.2250753091
121	0.2249785496
122	0.2247670476
123	0.2246168643
124	0.2244909721
125	0.2242036045
126	0.2239702648
127	0.2238352431
128	0.2236438441
129	0.223437241
130	0.2232499947
131	0.2231073538
132	0.2229628503
133	0.2225319303
134	0.2224334951
135	0.222178663
136	0.2220452471
137	0.2219347089
138	0.2217005082
139	0.2214290349
140	0.221268612
141	0.2210899806
142	0.2209201106
143	0.2206375635
144	0.2203588442
145	0.2201849293
146	0.2200358108
147	0.2198980347
148	0.2196813095
149	0.21953649
150	0.2193105995
151	0.219104559
152	0.2190410068
153	0.2189609771
154	0.2188111203
155	0.2186581419
156	0.218583678
157	0.2184263052
158	0.2182269804
159	0.218010698
160	0.217911666
161	0.2177797954
162	0.2177085726
163	0.2175425068
164	0.2173731788
165	0.217257577
166	0.2171830633
167	0.2169857794
168	0.2167257194
169	0.21658263
170	0.216479392
171	0.2163472577
172	0.2162631912
173	0.216071163
174	0.2160108423
175	0.2158669732
176	0.215695011
177	0.2155993493
178	0.2154769951
179	0.2153833762
180	0.2151078462
181	0.2150027094
182	0.2148768824
183	0.2147212753
184	0.2146180489
185	0.2144956013
186	0.2143521314
187	0.214304327
188	0.2140660053
189	0.2139163809
190	0.2137936511
191	0.2136300792
192	0.2134573188
193	0.213267504
194	0.2130330648
195	0.2128452919
196	0.2127643855
197	0.212525604
198	0.2123741842
199	0.2122524826
200	0.2122155573
201	0.2121451242
202	0.2119754413
203	0.2118226075
204	0.2116351468
205	0.2114890181
206	0.2112698478
207	0.2111502179
208	0.2110308641
209	0.2108095701
210	0.2107046243
211	0.2105298728
212	0.2104142275
213	0.2103152556
214	0.210210358
215	0.2101333755
216	0.2099948465
217	0.2099600819
218	0.2099022265
219	0.209762292
220	0.2095601837
221	0.2094416059
222	0.2093439084
223	0.2092679684
224	0.2092252029
225	0.209157745
226	0.2090673768
227	0.2089230221
228	0.2088368809
229	0.208717687
230	0.2085883412
231	0.2085187735
232	0.2083981994
233	0.208324
234	0.2082462614
235	0.2080809449
236	0.2080148998
237	0.207826335
238	0.207697973
239	0.2076300467
240	0.207474487
241	0.2073665339
242	0.2073162366
243	0.207275996
244	0.2071478722
245	0.2070866702
246	0.2070404326
247	0.2069699184
248	0.2069122084
249	0.2068625625
250	0.2067865964
251	0.2066906254
252	0.2066538276
253	0.2065509993
254	0.2064211456
255	0.2063457962
256	0.2062479216
257	0.2061699214
258	0.2060214409
259	0.2059577233
260	0.2058728008
261	0.2057211858
262	0.2056440502
263	0.2054669228
264	0.2053703565
265	0.205277218
266	0.2052076678
267	0.2051420283
268	0.2050599698
269	0.2050246474
270	0.2049411474
271	0.2049140129
272	0.2047764242
273	0.2046325801
274	0.2045661753
275	0.2045087839
276	0.2044279948
277	0.2043316545
278	0.2042673232
279	0.2041930373
280	0.2040727292
281	0.203951276
282	0.203867959
283	0.203781292
284	0.2036686284
285	0.2036278742
286	0.2035551517
287	0.2034810151
288	0.2033840773
289	0.2032707583
290	0.2031850021
291	0.2030459339
292	0.2029710158
293	0.2029182408
294	0.2028034291
295	0.2026995981
296	0.2025365651
297	0.2024414097
298	0.2023452251
299	0.202313258
