iter	Passed	Remaining
0	1010	302275
1	1849	275593
2	2691	266446
3	3545	262349
4	4425	261110
5	5346	261987
6	6228	260720
7	7071	258104
8	7913	255865
9	8805	255368
10	9719	255354
11	10581	253951
12	11442	252615
13	12247	250192
14	13174	250314
15	14087	250049
16	14940	248720
17	15867	248585
18	16773	248066
19	17676	247474
20	18521	246075
21	19300	243891
22	20168	242896
23	21005	241563
24	21826	240093
25	22667	238878
26	23490	237517
27	24351	236555
28	25217	235655
29	26114	235032
30	26951	233868
31	27803	232853
32	28633	231669
33	29534	231065
34	30395	230136
35	31241	229104
36	32075	227998
37	32916	226948
38	33774	226030
39	34562	224656
40	35374	223462
41	36202	222388
42	36998	221127
43	37805	219961
44	38629	218898
45	39441	217784
46	40234	216579
47	41138	215978
48	41975	215015
49	42830	214152
50	43731	213514
51	44589	212658
52	45433	211739
53	46308	210960
54	47117	209886
55	47904	208724
56	48703	207631
57	49491	206498
58	50316	205530
59	51176	204706
60	51957	203569
61	52741	202457
62	53533	201387
63	54354	200433
64	55170	199463
65	56003	198559
66	56816	197584
67	57633	196633
68	58471	195753
69	59294	194825
70	60074	193762
71	60914	192895
72	61744	191999
73	62539	190997
74	63369	190108
75	64153	189083
76	65008	188270
77	65841	187393
78	66685	186551
79	67519	185677
80	68329	184742
81	69174	183903
82	69973	182942
83	70790	182033
84	71648	181228
85	72446	180274
86	73312	179488
87	74126	178576
88	74968	177734
89	75853	176991
90	76795	176376
91	77683	175632
92	78628	175011
93	79460	174137
94	80345	173376
95	81174	172495
96	82106	171830
97	82976	171033
98	83874	170289
99	84701	169402
100	85485	168431
101	86307	167538
102	87096	166582
103	87891	165640
104	88694	164717
105	89522	163842
106	90404	163065
107	91303	162316
108	92143	161462
109	92989	160618
110	93801	159716
111	94650	158878
112	95457	157970
113	96312	157141
114	97143	156274
115	97972	155404
116	98822	154567
117	99660	153713
118	100502	152865
119	101313	151970
120	102114	151062
121	102975	150243
122	103777	149339
123	104617	148489
124	105444	147621
125	106259	146739
126	107049	145823
127	107848	144920
128	108670	144051
129	109441	143115
130	110256	142238
131	111051	141337
132	111839	140430
133	112668	139573
134	113443	138653
135	114235	137754
136	115008	136835
137	115864	136014
138	116765	135246
139	117629	134433
140	118452	133573
141	119361	132810
142	120317	132097
143	121201	131302
144	122092	130512
145	122955	129692
146	123825	128879
147	124735	128106
148	125656	127342
149	126547	126547
150	127448	125760
151	128301	124925
152	129159	124094
153	130023	123269
154	130900	122455
155	131804	121665
156	132668	120838
157	133654	120120
158	134550	119317
159	135527	118586
160	136394	117756
161	137226	116896
162	138057	116036
163	138913	115196
164	139711	114309
165	140530	113440
166	141405	112616
167	142262	111777
168	143129	110946
169	143973	110097
170	144797	109233
171	145624	108371
172	146481	107532
173	147407	106743
174	148347	105962
175	149256	105158
176	150167	104354
177	150999	103494
178	151831	102634
179	152680	101786
180	153561	100960
181	154400	100106
182	155231	99246
183	156049	98378
184	156898	97531
185	157784	96706
186	158744	95925
187	159587	95073
188	160524	94276
189	161493	93496
190	162446	92704
191	163473	91953
192	164502	91200
193	165449	90400
194	166368	89583
195	167275	88758
196	168186	87934
197	169099	87111
198	169992	86277
199	170878	85439
200	171701	84569
201	172542	83708
202	173398	82855
203	174248	81999
204	175155	81169
205	175994	80308
206	176917	79484
207	177791	78638
208	178631	77777
209	179518	76936
210	180395	76091
211	181252	75236
212	182130	74391
213	183007	73544
214	183946	72722
215	184855	71888
216	185781	71059
217	186623	70197
218	187438	69326
219	188326	68482
220	189195	67630
221	190101	66792
222	190990	65947
223	191817	65080
224	192624	64208
225	193501	63358
226	194363	62504
227	195217	61647
228	196050	60784
229	196936	59937
230	197788	59079
231	198672	58231
232	199546	57380
233	200410	56525
234	201255	55666
235	202122	54813
236	203006	53963
237	203862	53106
238	204692	52243
239	205540	51385
240	206398	50528
241	207216	49663
242	208054	48802
243	208884	47940
244	209761	47089
245	210603	46230
246	211462	45374
247	212370	44529
248	213206	43668
249	214029	42805
250	214925	41957
251	215801	41104
252	216624	40242
253	217487	39387
254	218362	38534
255	219226	37679
256	220101	36826
257	220941	35967
258	221877	35123
259	222836	34282
260	223783	33438
261	224665	32585
262	225494	31723
263	226362	30867
264	227205	30008
265	228056	29150
266	228943	28296
267	229823	27441
268	230697	26585
269	231515	25723
270	232390	24868
271	233191	24005
272	234072	23149
273	234964	22295
274	235830	21439
275	236720	20584
276	237572	19726
277	238410	18866
278	239254	18008
279	240096	17149
280	240982	16294
281	241871	15438
282	242733	14581
283	243622	13725
284	244454	12866
285	245278	12006
286	246116	11148
287	246968	10290
288	247819	9432
289	248700	8575
290	249559	7718
291	250467	6862
292	251318	6004
293	252172	5146
294	253033	4288
295	253896	3431
296	254744	2573
297	255603	1715
298	256494	857
299	257326	0
